Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Reg_Finish,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
33,33,20.0,Yunus Emre Ilhan,http://games.crossfit.com/athlete/270165,1,68.5,34,287,1,171.96,34 (272),23 (343),55 (114),160 (204),15 (09:25),16,,Antrum CrossFit,129.0,,,,,,,264.55,231.49,418.88,363.76,,34 (287),34,272,23,343,55,114,160,204,15,565
34,34,26.0,Jacques Van Der Walt,http://games.crossfit.com/athlete/449896,1,68.9,35,301,1,179.0,135 (236),34 (341),39 (115),52 (224),41 (10:31),16,CrossFit Pretoria,CrossFit Pretoria,210.0,,,,350,,,286.6,231.49,440.92,396.83,,35 (301),135,236,34,341,39,115,52,224,41,631
35,35,20.0,Ruan Conradie,http://games.crossfit.com/athlete/563087,1,69.29,36,307,1,176.37,144 (234),58 (339),38 (116),44 (226),23 (09:49),16,,CrossFit M4M,168.0,,148.0,,,,,297.62,249.12,507.06,385.81,50,36 (307),144,234,58,339,38,116,44,226,23,589
36,36,24.0,Gil Leor,http://games.crossfit.com/athlete/236812,1,69.29,37,312,1,185.0,80 (249),45 (340),78 (109),75 (214),34 (10:17),16,CrossFit TLV,CrossFit TLV,,,,,,,,293.21,235.89,396.83,352.74,,37 (312),80,249,45,340,78,109,75,214,34,617
37,37,22.0,Brandon Jacobs,http://games.crossfit.com/athlete/398197,1,70.47,38,313,1,200.0,48 (266),51 (340),37 (116),71 (215),106 (11:36),16,,CrossFit PBM,160.0,,,,395,,,319.67,253.53,518.09,440.92,46,38 (313),48,266,51,340,37,116,71,215,106,696
38,38,29.0,Ross Gilmour,http://games.crossfit.com/athlete/147800,1,68.9,39,316,1,179.0,59 (260),70 (339),95 (106),70 (216),22 (09:40),16,Team Gold Box,CrossFit Gold Box,184.0,,,,,,,286.6,216.05,473.99,414.47,38,39 (316),59,260,70,339,95,106,70,216,22,580
39,39,28.0,Ashley Smit,http://games.crossfit.com/athlete/50380,1,69.29,40,317,1,171.96,54 (262),36 (341),135 (103),45 (226),47 (10:35),16,Team CrossFit Tokai,CrossFit Tokai,,565.0,150.0,,337,70.0,1380.0,275.0,236.0,505.0,435.0,61,40 (317),54,262,36,341,135,103,45,226,47,635
40,40,28.0,Johan Van Deventer,http://games.crossfit.com/athlete/573532,1,,41,318,1,209.0,14 (290),138 (259),30 (116),96 (210),40 (10:29),16,RTF CrossFit Repeat,RTF CrossFit Repeat,,,,,,,,,,,,,41 (318),14,290,138,259,30,116,96,210,40,629
41,41,32.0,Eugene Babenko,http://games.crossfit.com/athlete/37267,1,68.0,42,321,1,176.0,29 (273),59 (339),126 (103),69 (216),38 (10:27),16,Team Gold Box,CrossFit Gold Box,154.0,,,,,,,280.0,240.0,,370.0,50,42 (321),29,273,59,339,126,103,69,216,38,627
42,42,25.0,Adam Grinker,http://games.crossfit.com/athlete/510347,1,70.47,42,321,1,187.39,101 (244),66 (339),46 (114),53 (223),55 (10:49),16,Maccabeast team,CrossFit Hadar Yosef,184.0,,,,,,,253.53,231.49,440.92,352.74,,42 (321),101,244,66,339,46,114,53,223,55,649
43,43,28.0,Garth High,http://games.crossfit.com/athlete/24939,1,67.32,44,329,1,187.0,112 (242),32 (341),120 (103),32 (241),33 (10:10),16,CrossFit BrackenGate,CrossFit BrackenGate,,,283.0,,344,,,286.6,253.53,440.92,440.92,12,44 (329),112,242,32,341,120,103,32,241,33,610
44,44,37.0,Rasul Akhmedov,http://games.crossfit.com/athlete/269987,1,71.65,44,329,1,231.0,47 (267),106 (261),66 (111),43 (226),67 (11:00),16,,Compact CrossFit,,,,,,,,,,,,,44 (329),47,267,106,261,66,111,43,226,67,660
45,45,22.0,Amin Attallah,http://games.crossfit.com/athlete/315266,1,,44,329,1,170.0,52 (263),69 (339),52 (114),98 (210),58 (10:53),16,962 Avengers,CrossFit 962,153.0,,,,,,,286.6,227.08,407.85,341.72,60,44 (329),52,263,69,339,52,114,98,210,58,653
46,46,22.0,Ali Bin Zayed,http://games.crossfit.com/athlete/26225,1,71.26,47,337,1,187.0,73 (253),83 (336),53 (114),63 (218),65 (10:58),16,,CrossFit Utmost,158.0,509.0,110.0,1284.0,411,59.0,1425.0,285.0,236.0,515.0,385.0,58,47 (337),73,253,83,336,53,114,63,218,65,658
47,47,29.0,Khalid Aljarallah,http://games.crossfit.com/athlete/703126,1,,48,361,1,,135 (236),60 (339),75 (110),34 (238),57 (10:50),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,,,,,,,,,,,,,48 (361),135,236,60,339,75,110,34,238,57,650
48,48,26.0,Yavuz Senturk,http://games.crossfit.com/athlete/194698,1,68.11,49,368,1,178.0,36 (271),30 (341),41 (115),243 (198),18 (09:28),16,,,,,,,,,,0.0,0.0,0.0,0.0,0,49 (368),36,271,30,341,41,115,243,198,18,568
49,49,34.0,Martin Ziegler,http://games.crossfit.com/athlete/427089,1,,50,371,1,160.0,59 (260),102 (261),25 (118),144 (205),41 (10:31),16,CrossFit Metalize,CrossFit MetaliZe,,,,,,,,,,,,,50 (371),59,260,102,261,25,118,144,205,41,631
50,50,27.0,Nicolai Mainz,http://games.crossfit.com/athlete/100944,1,69.29,51,372,1,189.0,40 (269),73 (339),66 (111),116 (208),77 (11:10),16,Team Gold Box,CrossFit Gold Box,206.0,,106.0,,,,,286.6,220.46,418.88,341.72,42,51 (372),40,269,73,339,66,111,116,208,77,670
51,51,25.0,Zohar Lipkin,http://games.crossfit.com/athlete/50199,1,71.26,52,381,1,210.0,80 (249),107 (261),103 (105),47 (225),44 (10:32),16,CrossFit Kfar Saba,CrossFit Kfar Saba,136.0,,128.0,,,,,308.65,264.55,480.61,440.92,,52 (381),80,249,107,261,103,105,47,225,44,632
52,52,23.0,Devin Ramsden,http://games.crossfit.com/athlete/436419,1,,53,390,1,,87 (247),112 (260),73 (110),37 (228),81 (11:15),16,CrossFit Kyalami,CrossFit Kyalami,,,,,,,,,,,,,53 (390),87,247,112,260,73,110,37,228,81,675
53,53,31.0,Alp Arabacioglu,http://games.crossfit.com/athlete/459214,1,70.08,54,397,1,189.0,97 (246),26 (342),83 (108),38 (228),153 (12:09),16,,Antrum CrossFit,,,,,,,,,,,,,54 (397),97,246,26,342,83,108,38,228,153,729
54,54,25.0,Louis Achadinha,http://games.crossfit.com/athlete/39726,1,66.93,55,406,1,158.73,74 (252),72 (339),88 (107),136 (206),36 (10:24),16,,CrossFit 1448,,,,,,58.0,1076.0,0.0,0.0,0.0,0.0,,55 (406),74,252,72,339,88,107,136,206,36,624
55,55,31.0,Hannes du Toit,http://games.crossfit.com/athlete/29844,1,70.08,56,408,1,180.0,74 (252),35 (341),50 (114),172 (203),77 (11:10),16,BST CrossFit,BST CrossFit,168.0,540.0,180.0,1440.0,346,54.0,1170.0,297.62,220.46,451.95,418.88,30,56 (408),74,252,35,341,50,114,172,203,77,670
56,56,32.0,Haitham Mahgoub,http://games.crossfit.com/athlete/177132,1,70.87,57,430,1,,124 (239),75 (339),108 (104),33 (239),90 (11:25),16,,CrossFit Demento,,,,,,,,,,,,,57 (430),124,239,75,339,108,104,33,239,90,685
57,57,26.0,Samuel Mitchel,http://games.crossfit.com/athlete/297124,1,69.0,58,432,1,190.0,36 (271),121 (260),89 (107),90 (211),96 (11:29),16,,CrossFit Arifjan,,,,,,,,,,,,,58 (432),36,271,121,260,89,107,90,211,96,689
58,58,25.0,Daniel Sherbakov,http://games.crossfit.com/athlete/286603,1,70.47,59,441,1,190.0,87 (247),76 (339),109 (104),89 (211),80 (11:13),16,,CrossFit Namal,,,,,,,,308.65,242.51,529.11,396.83,,59 (441),87,247,76,339,109,104,89,211,80,673
59,59,27.0,Abdel Rahman Suliman,http://games.crossfit.com/athlete/366154,1,,60,447,1,,67 (259),110 (261),82 (108),30 (244),158 (12:14),16,,CrossFit Stars,,,,,,,,,,,,,60 (447),67,259,110,261,82,108,30,244,158,734
60,60,25.0,Omar Fleah,http://games.crossfit.com/athlete/238573,1,69.29,61,449,1,,36 (271),68 (339),23 (120),230 (199),92 (11:27),16,CrossFit Engine38,CrossFit Engine 38,,,,,,,,,,,,,61 (449),36,271,68,339,23,120,230,199,92,687
61,61,28.0,Ivan Marjanovic,http://games.crossfit.com/athlete/247621,1,72.83,62,451,1,189.0,29 (273),57 (339),45 (114),254 (197),66 (10:59),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,177.0,427.0,,,,,,235.0,185.0,495.0,355.0,,62 (451),29,273,57,339,45,114,254,197,66,659
62,62,28.0,Kristian Kjelsbak,http://games.crossfit.com/athlete/267891,1,72.05,63,459,1,,18 (286),159 (258),34 (116),204 (201),44 (10:32),16,Team Gold Box,CrossFit Gold Box,298.0,,179.0,,,,,180.78,,264.55,105.0,,63 (459),18,286,159,258,34,116,204,201,44,632
63,63,22.0,Conor Johnson,http://games.crossfit.com/athlete/107479,1,64.96,64,463,1,143.0,119 (240),92 (262),95 (106),72 (215),85 (11:18),16,Crossfit Black and Yellow,CrossFit Black & Yellow,149.0,,,,,,1380.0,,187.39,440.92,352.74,0,64 (463),119,240,92,262,95,106,72,215,85,678
64,64,20.0,Kalim Bechara,http://games.crossfit.com/athlete/402324,1,72.44,64,463,1,179.0,76 (251),111 (260),123 (103),79 (213),74 (11:07),16,CrossFit Live Better,CrossFit Live Better,152.0,504.0,123.0,1147.0,398,57.0,1161.0,285.0,225.0,500.0,375.0,54,64 (463),76,251,111,260,123,103,79,213,74,667
65,65,25.0,Brad Clark,http://games.crossfit.com/athlete/111928,1,68.0,66,476,1,,79 (250),105 (261),112 (104),76 (214),104 (11:35),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,,,,,,,,,,,,,66 (476),79,250,105,261,112,104,76,214,104,695
66,66,30.0,Tyron Hatch,http://games.crossfit.com/athlete/99139,1,73.23,67,492,1,205.0,135 (236),44 (340),74 (110),122 (207),117 (11:41),16,Crossfit District Six,CrossFit District Six,166.0,623.0,,,407,65.0,1440.0,264.55,211.64,414.47,352.74,25,67 (492),135,236,44,340,74,110,122,207,117,701
67,67,25.0,Jakkie Homan,http://games.crossfit.com/athlete/236473,1,68.5,68,493,1,178.0,72 (255),165 (258),68 (111),135 (206),53 (10:47),16,,CrossFit Rustenburg,178.0,497.0,168.0,1383.0,415,,,253.53,189.6,440.92,330.69,45,68 (493),72,255,165,258,68,111,135,206,53,647
68,68,29.0,Justin Telles,http://games.crossfit.com/athlete/74536,1,70.0,68,493,1,160.0,68 (258),114 (260),126 (103),101 (209),84 (11:17),16,,CrossFit 965,,,,,0,,,0.0,0.0,0.0,0.0,0,68 (493),68,258,114,260,126,103,101,209,84,677
69,69,23.0,Matthew Peter Garth Smith,http://games.crossfit.com/athlete/139794,1,70.47,70,500,1,180.0,82 (248),47 (340),57 (113),112 (208),202 (12:39),16,CFB Dragons,CrossFit Bedfordview,,,,,,,,,,,,,70 (500),82,248,47,340,57,113,112,208,202,759
70,70,23.0,Eduan Viljoen,http://games.crossfit.com/athlete/226081,1,,71,503,1,192.0,144 (234),99 (261),24 (119),106 (209),130 (11:50),16,CrossFit Platinum Progenex,CrossFit Platinum,,,,,,,,,,,,,71 (503),144,234,99,261,24,119,106,209,130,710
71,71,27.0,Najm Mamkegh,http://games.crossfit.com/athlete/312760,1,70.47,72,515,1,200.0,101 (244),53 (340),203 (101),109 (208),49 (10:42),16,962 Avengers,CrossFit 962,,,,,,,,315.0,230.0,465.0,445.0,,72 (515),101,244,53,340,203,101,109,208,49,642
72,72,23.0,Hussain Al Bahbahani,http://games.crossfit.com/athlete/237322,1,71.26,73,516,1,180.78,54 (262),42 (340),112 (104),94 (210),214 (12:44),16,,CrossFit Q8,195.0,,,,,,1215.0,275.58,231.49,473.99,396.83,45,73 (516),54,262,42,340,112,104,94,210,214,764
73,73,26.0,Milos Pesic,http://games.crossfit.com/athlete/558917,1,73.23,74,575,1,192.0,82 (248),62 (339),128 (103),240 (198),63 (10:57),16,,CrossFit 965,,,,,,,1073.0,253.53,209.44,418.88,352.74,30,74 (575),82,248,62,339,128,103,240,198,63,657
74,74,26.0,Mike Pantaleon,http://games.crossfit.com/athlete/3080,1,65.35,75,578,1,165.0,135 (236),52 (340),237 (100),113 (208),41 (10:31),16,crossfit sand warrrios,CrossFit Sand Warriors,,,,,,,,0.0,0.0,0.0,0.0,,75 (578),135,236,52,340,237,100,113,208,41,631
75,75,29.0,Ben McAnnis-Entenman,http://games.crossfit.com/athlete/25270,1,75.0,76,584,1,213.0,107 (243),41 (340),141 (102),270 (196),25 (09:53),16,CrossFit Yas,CrossFit Yas,182.0,504.0,122.0,1413.0,414,60.0,1204.0,285.0,235.0,500.0,460.0,30,76 (584),107,243,41,340,141,102,270,196,25,593
76,76,30.0,Tarek Trad,http://games.crossfit.com/athlete/173762,1,,77,594,1,191.0,112 (242),77 (339),249 (99),56 (221),100 (11:32),16,CrossFit FDT,CrossFit FDT,,,,,,,,,,,,,77 (594),112,242,77,339,249,99,56,221,100,692
77,77,32.0,Paolo Nunes,http://games.crossfit.com/athlete/462965,1,,78,596,1,162.0,266 (217),61 (339),103 (105),46 (226),120 (11:43),16,CrossFit B4C,CrossFit B4C,,,,,,,,,,,,,78 (596),266,217,61,339,103,105,46,226,120,703
78,78,31.0,Nadav Lavy,http://games.crossfit.com/athlete/106896,1,68.9,79,598,1,200.0,119 (240),125 (260),119 (103),143 (205),92 (11:27),16,Maccabeast team,CrossFit Hadar Yosef,210.0,500.0,180.0,,350,,1440.0,290.0,245.0,470.0,350.0,50,79 (598),119,240,125,260,119,103,143,205,92,687
79,79,23.0,Bernhard van Renssen,http://games.crossfit.com/athlete/565050,1,,80,604,1,185.0,40 (269),250 (256),29 (117),179 (203),106 (11:36),16,RTF CrossFit Repeat,RTF CrossFit Repeat,,,,,,,,,,,,,80 (604),40,269,250,256,29,117,179,203,106,696
80,80,20.0,Schalk Burger,http://games.crossfit.com/athlete/480349,1,72.44,81,610,1,210.0,97 (246),147 (259),156 (102),110 (208),100 (11:32),16,,CrossFit Mossel Bay,219.0,,163.0,,330,,,275.58,224.87,485.02,385.81,30,81 (610),97,246,147,259,156,102,110,208,100,692
81,81,25.0,Ruben Burger,http://games.crossfit.com/athlete/537562,1,,82,612,1,198.0,112 (242),448 (201),7 (129),10 (265),35 (10:21),16,,CrossFit Diaz,152.0,488.0,100.0,,,,,286.6,220.46,440.92,363.76,,82 (612),112,242,448,201,7,129,10,265,35,621
82,82,36.0,Stacy Jones,http://games.crossfit.com/athlete/12306,1,70.0,83,622,1,203.0,59 (260),96 (262),176 (101),147 (205),144 (11:59),16,,CrossFit Wadi,176.0,498.0,97.0,1319.0,378,65.0,1532.0,335.0,260.0,515.0,475.0,30,83 (622),59,260,96,262,176,101,147,205,144,719
83,83,28.0,Derek Harwood,http://games.crossfit.com/athlete/400984,1,71.26,84,624,1,214.0,116 (241),65 (339),174 (101),196 (201),73 (11:05),16,,CrossFit Alberton,,,,,,,,,,,,,84 (624),116,241,65,339,174,101,196,201,73,665
84,84,24.0,Paul Hofman,http://games.crossfit.com/athlete/253295,1,70.47,85,629,1,170.0,141 (235),152 (259),63 (112),51 (224),222 (12:48),16,Crossfit The Slab,CrossFit The Slab,,,,,,,,297.62,238.1,485.02,396.83,70,85 (629),141,235,152,259,63,112,51,224,222,768
85,85,24.0,Mert igci,http://games.crossfit.com/athlete/221694,1,70.08,85,629,1,180.78,52 (263),123 (260),144 (102),220 (200),90 (11:25),16,,CrossFit 1453,141.0,,,1046.0,,,,308.65,242.51,451.95,440.92,63,85 (629),52,263,123,260,144,102,220,200,90,685
86,86,21.0,Bryan Michelson,http://games.crossfit.com/athlete/213786,1,,87,645,1,,135 (236),100 (261),56 (114),185 (202),169 (12:19),16,USN CrossFit Eikestad,CrossFit Eikestad,,,,,,,,,,,,,87 (645),135,236,100,261,56,114,185,202,169,739
87,87,30.0,Nico van der Walt,http://games.crossfit.com/athlete/43551,1,69.69,88,661,1,189.0,100 (245),129 (260),212 (101),80 (213),140 (11:57),16,Team CrossFit Tokai,CrossFit Tokai,188.0,469.0,140.0,,399,,,295.0,225.0,506.0,416.0,42,88 (661),100,245,129,260,212,101,80,213,140,717
88,88,28.0,Afeef Husni,http://games.crossfit.com/athlete/531175,1,68.5,89,670,1,187.39,176 (228),33 (341),359 (93),49 (224),53 (10:47),16,,Dunes CrossFit,,,125.0,,,,1442.0,286.6,224.87,529.11,469.58,35,89 (670),176,228,33,341,359,93,49,224,53,647
89,89,24.0,Majid Al Sharaf,http://games.crossfit.com/athlete/297397,1,,90,673,1,188.0,76 (251),143 (259),236 (100),121 (207),97 (11:30),16,CrossFit Delmon,CrossFit Delmon,,,,,,,,,,,,,90 (673),76,251,143,259,236,100,121,207,97,690
